title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,job_url
Forward Deployed Engineer,The Walt Disney Company,"Burbank, California, United States",2026-08-25,H-1B Sponsor,Disney,no,Forward Deployed,"117,500-157,500 USD/annual",https://jobs.disneycareers.com/job/burbank/forward-deployed-engineer/391/99732117968
Forward Deployed Product Engineer,The Walt Disney Company,"Burbank, California, United States",2026-08-25,H-1B Sponsor,Disney,no,Forward Deployed,"117,500-157,500 USD/annual",https://jobs.disneycareers.com/job/burbank/forward-deployed-product-engineer/391/99227453008
Software Engineer,Zoom Communications,"Seattle, Washington, United States",2026-08-26,H-1B Sponsor,Zoom,no,Software,"200,000-275,400 USD/annual",https://zoom.wd5.myworkdayjobs.com/en-US/Zoom/job/Seattle-WA/Software-Engineer_R19581?locationCountry=29247e57dbaf46fb855b224e03170bc7&locationCountry=80938777cac5440fab50d729f9634969&locationCountry=d903bb3fedad45039383f6de334ad4db&locationCountry=a30a87ed25634629aa6c3958aa2b91ea&locationCountry=bc33aa3152ec42d4995f4791a106ed09
Java Software Engineer II,JPMorgan Chase,"Newark, Delaware, United States",2026-08-26,H-1B Sponsor,J.P. Morgan,no,Software,,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210783301
Software Developer 3,Oracle,"Austin, Texas, United States",2026-08-26,H-1B Sponsor,Oracle,no,Software,"89,200-209,500 USD/annual",https://careers.oracle.com/en/sites/jobsearch/job/343931/?lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000149325%253B300000000106863
Software Engineer,Microsoft,"Redmond, Washington, United States",2026-08-26,H-1B Sponsor,Microsoft,no,Software,"102,100-202,200 USD/annual",https://apply.careers.microsoft.com/careers/job/1970393556868734
Software Development Engineer - Test,Apple,"Sunnyvale, California, United States",2026-08-26,H-1B Sponsor,Apple,no,Software,"129,300-225,300 USD/annual",https://jobs.apple.com/en-us/details/200680221-3956/software-development-engineer-test?team=HRDWR
AI Software Engineer,GE,"Louisville, Kentucky, United States",2026-08-26,H-1B Sponsor,Pure Storage,no,"Software, AI",,https://haier.wd3.myworkdayjobs.com/en-US/GE_Appliances/job/USA-Louisville-KY/AI-Software-Engineer_REQ-26544-1?locationCountry=6cb77610a8a543aea2d6bc10457e35d4&locationCountry=bc33aa3152ec42d4995f4791a106ed09&locationCountry=a30a87ed25634629aa6c3958aa2b91ea
"Software Engineer III, Infrastructure, Keystore Platforms",Google,"New York, New York, United States",2026-08-26,H-1B Sponsor,Google,no,"Software, Infrastructure","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/116568913403093702-software-engineer-iii-infrastructure-keystore-platforms
"Software Development Engineer, Amazon Customer Service",Amazon,"Seattle, Washington, United States",2026-08-26,H-1B Sponsor,Amazon,no,Software,"143,700-194,400 USD/annual",https://amazon.jobs/en/jobs/10515085/software-development-engineer-amazon-customer-service
"Software Engineer, Systems ML - Compilers / Backend",Meta,"Sunnyvale, California, United States",2026-08-26,H-1B Sponsor,Meta,no,"Software, Backend","121,992-181,000 USD/annual",https://www.metacareers.com/profile/job_details/2145505832666693
"Software Development Engineer, Distributed NoSQL Database Systems",ByteDance,"San Jose, California, United States",2026-08-26,H-1B Sponsor,ByteDance,no,Software,"162,000-387,600 USD/annual",https://joinbytedance.com/search/7454730327220324626
Modem RF Software Integration and Test Engineer (Automation /AI/ML),Qualcomm,"San Diego, California, United States",2026-08-26,H-1B Sponsor,Qualcomm,no,"Software, AI","107,000-160,600 USD/annual",https://careers.qualcomm.com/careers/job/446720740246?domain=qualcomm.com&triggerGoButton=false
Data-Python Engineer Software Engineer III,JPMorgan Chase,"Plano, Texas, United States",2026-08-26,H-1B Sponsor,J.P. Morgan,no,Software,,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210750684
Software Engineering - Commercial Engineering & AI (CEAI),Microsoft,"Redmond, Washington, United States",2026-08-26,H-1B Sponsor,Microsoft,no,"Software, AI","85,400-168,100 USD/annual",https://apply.careers.microsoft.com/careers/job/1970393556977374
"Software Engineer (Full Stack), G&A Solutions Engineering",Apple,"Austin, Texas, United States",2026-08-26,H-1B Sponsor,Apple,no,"Software, Full Stack",,https://jobs.apple.com/en-us/details/200679481-0240/software-engineer-full-stack-g-a-solutions-engineering?team=SFTWR
Software Engineer II,Uber,"Seattle, Washington, United States",2026-08-26,H-1B Sponsor,Uber,no,Software,"171,000-209,000 USD/annual",https://jobs.uber.com/en/jobs/301286/
"Software Engineer, Generative AI, Maps",Google,"Mountain View, California, United States",2026-08-26,H-1B Sponsor,Google,no,"Software, AI","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/76862868464509638-software-engineer-generative-ai-maps
Full-Stack Java React Software Engineer II,JPMorgan Chase,"Jersey City, New Jersey, United States",2026-08-26,H-1B Sponsor,J.P. Morgan,no,"Software, Full Stack","123,500-150,000 USD/annual",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210777170
"Software Development Engineer, System Analytics & Intelligence (SAIL)",Apple,"Cupertino, California, United States",2026-08-26,H-1B Sponsor,Apple,no,Software,"150,400-277,600 USD/annual",https://jobs.apple.com/en-us/details/200680217-0836/software-development-engineer-system-analytics-intelligence-sail?team=SFTWR
Software Engineer II,Uber,"Sunnyvale, California, United States",2026-08-26,H-1B Sponsor,Uber,no,Software,"171,000-209,000 USD/annual",https://jobs.uber.com/en/jobs/301271/
"Software Engineer, Embedded Systems, Pixel Touch",Google,"Mountain View, California, United States",2026-08-26,H-1B Sponsor,Google,no,Software,"174,000-252,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/84868756223730374-software-engineer-embedded-systems-pixel-touch
"Software Engineer, XR , Fauna",Amazon,"New York, New York, United States",2026-08-26,H-1B Sponsor,Amazon,no,Software,"158,100-213,800 USD/annual",https://amazon.jobs/en/jobs/10514583/software-engineer-xr-fauna
Software Engineer II (React/Java),JPMorgan Chase,"New York, New York, United States",2026-08-26,H-1B Sponsor,J.P. Morgan,no,Software,"123,500-150,000 USD/annual",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210765133
Graphics Verification Software Engineer,Apple,"Austin, Texas, United States",2026-08-26,H-1B Sponsor,Apple,no,Software,,https://jobs.apple.com/en-us/details/200680151-0157/graphics-verification-software-engineer?team=HRDWR
Software Engineer I,Uber,"New York City, New York, United States",2026-08-26,H-1B Sponsor,Uber,no,Software,"153,000-169,000 USD/annual",https://jobs.uber.com/en/jobs/301277/
"Software Engineer, Browser Client",Amazon,"San Francisco, California, United States",2026-08-26,H-1B Sponsor,Amazon,no,Software,"110,500-185,000 USD/annual",https://amazon.jobs/en/jobs/10514569/software-engineer-browser-client
Software Engineer - VE,Apple,"Sunnyvale, California, United States",2026-08-26,H-1B Sponsor,Apple,no,Software,"150,400-277,600 USD/annual",https://jobs.apple.com/en-us/details/200679909-3956/software-engineer-ve?team=HRDWR
Software Engineer - VE,Apple,"Cupertino, California, United States",2026-08-26,H-1B Sponsor,Apple,no,Software,"150,400-277,600 USD/annual",https://jobs.apple.com/en-us/details/200679909-0836/software-engineer-ve?team=HRDWR
Camera Embedded Software Engineer,Apple,"Sunnyvale, California, United States",2026-08-26,H-1B Sponsor,Apple,no,Software,"129,300-194,700 USD/annual",https://jobs.apple.com/en-us/details/200679867-3956/camera-embedded-software-engineer?team=HRDWR
"AI Builder, Emerging Talent",Salesforce,"San Francisco, California, United States",2026-08-26,H-1B Sponsor,Salesforce,no,AI,"103,200-103,200 USD/annual",https://www.salesforce.com/company/careers/jobs/JR357678/ai-builder-emerging-talent/
Student Researcher (AI Foundation Model Infrastructure - Seed) - 2027 Start (PhD),ByteDance,"San Jose, California, United States",2026-08-26,H-1B Sponsor,ByteDance,no,"AI, Infrastructure",85-85 USD/hourly,https://joinbytedance.com/search/7673274430383032629
Machine Learning Engineer Graduate (E-Commerce Recommendation/Search Alliance) - 2027 Start,TikTok,"San Jose, California, United States",2026-08-26,H-1B Sponsor,ByteDance,no,Machine Learning,"128,000-316,800 USD/annual",https://lifeattiktok.com/search/7669913085331409205
Machine Learning Engineer Graduate (E-Commerce Knowledge Graph) - 2027 Start (PhD),TikTok,"Seattle, Washington, United States",2026-08-26,H-1B Sponsor,ByteDance,no,Machine Learning,"153,900-300,960 USD/annual",https://lifeattiktok.com/search/7676650760662157621
Data Lake Infrastructure & Data Analytics Research Engineer Graduate (AML-Ark-US) - 2027 Start (PhD),ByteDance,"San Jose, California, United States",2026-08-26,H-1B Sponsor,ByteDance,no,Infrastructure,"162,000-316,800 USD/annual",https://joinbytedance.com/search/7671108456554432773
"DevOps Engineer, Retail and Marcom Engineering",Apple,"Austin, Texas, United States",2026-08-26,H-1B Sponsor,Apple,no,DevOps,,https://jobs.apple.com/en-us/details/200678770-0157/devops-engineer-retail-and-marcom-engineering?team=SFTWR
New College Grad - System Software Engineer,Micron Technology,"Boise, Idaho, United States",2026-08-25,H-1B Sponsor,,no,Software,,https://careers.micron.com/careers/job/44138173?domain=micron.com
Single Family Software Development Analyst,Freddie Mac,"McLean, Virginia, United States",2026-08-25,H-1B Sponsor,,yes,Software,"77,000-115,000 USD/annual",https://careers.freddiemac.com/us/en/job/JR17441/Single-Family-Software-Development-Analyst
Embedded Software Engineer I,Alarm.com,"Tysons, Virginia, United States",2026-08-25,H-1B Sponsor,,no,Software,"90,000-100,000 USD/annual",https://job-boards.greenhouse.io/alarmcom/jobs/8622530002
Manufacturing Software Research Engineer,CCAM,"Disputanta, Virginia, United States",2026-08-25,H-1B Sponsor,,no,Software,,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4447518
"Software Engineer, Model Evaluation and Improvement",Benchling,"San Francisco, California, United States",2026-08-25,H-1B Sponsor,,no,Software,"136,435-166,754 USD/annual",https://jobs.ashbyhq.com/benchling/3fbb23bd-c06c-49da-8834-4da67200275e
Payroll Specialist II,Asure Software,"High Point, North Carolina, United States",2026-08-25,H-1B Sponsor,,no,Software,22-27 USD/hourly,https://asuresoftware.bamboohr.com/careers/1073
