title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,tier,match_score,fit_score,score_source,screen_method,resume_profile_used,role_family,seniority_fit,main_gaps,recommended_action,recommended_resume,first_seen,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,source_pipeline,job_url
Backend Software Engineer I,Chewy,"Boston, Massachusetts, United States",2026-09-03,Sponsor,,no,"Software, Backend","97,500-160,000 USD/annual",A,88.0,88.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-05T04:16:31.162390+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::585b5ac564b5a771176300510e728180,,,2026-09-05T04:16:31.162390+00:00,syncareer,https://careers.chewy.com/us/en/job/R30760/Backend-Software-Engineer-I
"Software Validation Engineer, Opticaster",Tesla,"Palo Alto, California, United States",2026-09-04,Sponsor,Tesla,no,Software,"120,000-252,000 USD/annual",B,86.0,86.0,llm,llm,resume_swe,swe,good,['No direct energy/control-system or device-level validation experience'],referral_now,SWE,2026-09-05T04:16:31.162390+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::3202fa53c89ee8267e22b1e05b372f9a,,,2026-09-05T04:16:31.162390+00:00,syncareer,https://www.tesla.com/careers/search/job/282304
"Software Engineer, Agentic AI Fleet Management",Tesla,"Austin, Texas, United States",2026-09-04,Sponsor,Tesla,no,"Software, AI",,B,84.0,84.0,llm,llm,resume_ai,ai,good,"['No demonstrated Go production experience', 'No direct robotics, fleet-management, or industrial-automation experience']",referral_now,AI-FDE,2026-09-05T04:16:31.162390+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::316dafa9e13a117341d35ebc1467369e,,,2026-09-05T04:16:31.162390+00:00,syncareer,https://www.tesla.com/careers/search/job/281729
Software Engineer,GE HealthCare,"Bellevue, Washington, United States",2026-09-03,Sponsor,,no,Software,"103,040-154,560 USD/annual",B,84.0,84.0,llm,llm,resume_swe,swe,good,['No direct healthcare data standards or hospital-system integration experience'],apply_now,SWE,2026-09-05T04:16:31.162390+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::5a534314cf28d35e6956f268832e1db7,,,2026-09-05T04:16:31.162390+00:00,syncareer,https://gehc.wd5.myworkdayjobs.com/en-US/GEHC_ExternalSite/job/WA07-01-Bellevue-1100-112th-Avenue-NE/Software-Engineer_R4045428-1
Platform Software Engineer – Digital Operations Platform,BETA Technologies,"South Burlington, Vermont, United States",2026-09-03,Sponsor,,no,"Software, Platform","100,000-100,000 USD/annual",B,83.0,83.0,llm,llm,resume_swe,swe,good,"['No clear professional GitLab CI/CD experience', 'Limited direct evidence of IAM and enterprise HelpDesk workflow integrations']",apply_now,SWE,2026-09-05T04:16:31.162390+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::de4a4dd2930a24aa2a0bfd308b9b1187,,,2026-09-05T04:16:31.162390+00:00,syncareer,https://beta.team/open-positions/4265190009?hsLang=en
Forward Deployed Engineer - Palantir,Conagra Brands,"Omaha, Nebraska, United States",2026-09-03,Sponsor,,no,Forward Deployed,"73,600-109,300 USD/annual",B,83.0,83.0,llm,llm,resume_swe,swe,good,['No direct production Palantir Foundry or Ontology/Workshop experience.'],apply_now,SWE,2026-09-05T04:16:31.162390+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::069008c4a711c9df508ca0e21ed674cc,,,2026-09-05T04:16:31.162390+00:00,syncareer,https://careers.conagrabrands.com/us/en/job/Req-040092/Forward-Deployed-Engineer-Palantir
"Data Engineer, Battery Manufacturing Development",Tesla,"Austin, Texas, United States",2026-09-04,Sponsor,Tesla,no,Data Engineer,,B,82.0,82.0,llm,llm,resume_ai,ai,good,"['Manufacturing process-control/statistical monitoring experience', 'Direct warehouse/lake experience with ClickHouse or S3']",apply_now,AI-FDE,2026-09-05T04:16:31.162390+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::f0f2e4edacc5894c6e418d6d49fb1f82,,,2026-09-05T04:16:31.162390+00:00,syncareer,https://www.tesla.com/careers/search/job/282146
"Software Engineer III, AI/ML, Enterprise Engineering, Core",Google,"San Jose, California, United States",2026-09-04,Sponsor,Google,no,"Software, AI","147,000-210,000 USD/annual",B,80.0,80.0,llm,llm,resume_ai,ai,good,['Distributed-systems architecture at Google-scale is not clearly demonstrated'],apply_now,AI-FDE,2026-09-05T04:16:31.162390+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::50dda5ed6b22dcf63b3b5d2247bcf95e,,,2026-09-05T04:16:31.162390+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/77938669725328070-software-engineer-iii-aiml-enterprise-engineering-core
Software Developer II,Capital Insurance Group,"Reno, Nevada, United States",2026-09-03,Sponsor,,no,Software,"71,202-118,670 USD/annual",B,78.0,78.0,llm,llm,resume_swe,swe,good,[],apply_now,SWE,2026-09-05T04:16:31.162390+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::2884c8711703ed29f41783bc6be7facd,,,2026-09-05T04:16:31.162390+00:00,syncareer,https://ciginsurance.hrmdirect.com/employment/job-opening.php?req=3792174&req_loc=1446853&&&jbsrc=1025#job
"Software Engineer III, AI/ML GenAI, YouTube",Google,"Mountain View, California, United States",2026-09-04,Sponsor,Google,no,AI,"147,000-210,000 USD/annual",B,76.0,76.0,llm,llm,resume_ai,ai,good,"['No clear hands-on text/image/video/audio generation model development', 'ML infrastructure experience is strongest for LLM applications and evaluation rather than large-scale model serving/training infrastructure']",apply_now,AI-FDE,2026-09-05T04:16:31.162390+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::40f5fda7c69aeca7661a2df44d930ace,,,2026-09-05T04:16:31.162390+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/78100641531994822-software-engineer-iii-aiml-genai-youtube
Software Engineer Intern,The Kraft Group,"Foxborough, Massachusetts, United States",2026-09-03,Sponsor,,no,Software,15-20 USD/hourly,B,76.0,76.0,llm,llm,resume_swe,swe,good,[],apply_now,SWE,2026-09-05T04:16:31.162390+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::906b291739e50d2919df30b08da4d44f,,,2026-09-05T04:16:31.162390+00:00,syncareer,https://paycomonline.net/v4/ats/web.php/portal/715F4103F5E4D572C92AFE85684343DC/jobs/552896
