title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,job_url
Software Engineer 3,eBay,"San Jose, California, United States",2026-08-27,H-1B Sponsor,eBay,no,Software,"187,741-262,700 USD/annual",https://jobs.ebayinc.com/us/en/job/R0076679/Software-Engineer-3
"Software Engineer, Apple Ads",Apple,"Austin, Texas, United States",2026-08-27,H-1B Sponsor,Apple,no,Software,,https://jobs.apple.com/en-us/details/200680232-0157/software-engineer-apple-ads?team=SFTWR
Software Engineer III (React/Java),JPMorgan Chase,"Jersey City, New Jersey, United States",2026-08-27,H-1B Sponsor,J.P. Morgan,no,Software,"137,750-185,000 USD/annual",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210774763
Software Developer 2,Oracle,"Seattle, Washington, United States",2026-08-27,H-1B Sponsor,Oracle,no,Software,"79,100-166,100 USD/annual",https://careers.oracle.com/en/sites/jobsearch/job/344094/?lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000149325%253B300000000106863
Software Engineer,Microsoft,"Redmond, Washington, United States",2026-08-27,H-1B Sponsor,Microsoft,no,Software,"85,400-168,100 USD/annual",https://apply.careers.microsoft.com/careers/job/1970393556972217
"Software Engineer III, Performance, AI and Infrastructure",Google,"Sunnyvale, California, United States",2026-08-27,H-1B Sponsor,Google,no,"Software, AI, Infrastructure","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/131550590407713478-software-engineer-iii-performance-ai-and-infrastructure
"Software Engineer I, Memberships",Amazon,"Seattle, Washington, United States",2026-08-27,H-1B Sponsor,Amazon,no,Software,"110,500-185,000 USD/annual",https://amazon.jobs/en/jobs/10515912/software-engineer-i-memberships
"Software Engineer, Apple Ads",Apple,"Cupertino, California, United States",2026-08-27,H-1B Sponsor,Apple,no,Software,"150,400-277,600 USD/annual",https://jobs.apple.com/en-us/details/200680232-0836/software-engineer-apple-ads?team=SFTWR
Software Engineer II- Linux C/C++ systems programming,JPMorgan Chase,"Jersey City, New Jersey, United States",2026-08-27,H-1B Sponsor,J.P. Morgan,no,Software,"123,500-150,000 USD/annual",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210752932
"Software Engineer III, Infrastructure, Search",Google,"Mountain View, California, United States",2026-08-27,H-1B Sponsor,Google,no,"Software, Infrastructure","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/79014275565134534-software-engineer-iii-infrastructure-search
