title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,job_url
"Software Engineer, Global Banking & Markets, Trading Technology",Goldman Sachs,"Salt Lake City, Utah, United States",2026-08-27,H-1B Sponsor,Goldman Sachs,no,Software,,https://higher.gs.com/roles/182893
"Software Engineer III, Infrastructure, Infrastructure Storage",Google,"New York, New York, United States",2026-08-27,H-1B Sponsor,Google,no,"Software, Infrastructure","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/111982135291585222-software-engineer-iii-infrastructure-infrastructure-storage
"Software Development Engineer, AWS Compliance & Security Assurance",Amazon,"Seattle, Washington, United States",2026-08-27,H-1B Sponsor,Amazon,no,Software,"143,700-194,400 USD/annual",https://amazon.jobs/en/jobs/10516800/software-development-engineer-aws-compliance-security-assurance
"Software Engineer III, Mobile (Android)",Google,"Boulder, Colorado, United States",2026-08-27,H-1B Sponsor,Google,no,Software,"147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/141957021288014534-software-engineer-iii-mobile-android
"Software Engineer III, Full Stack",Google,"Raleigh, North Carolina, United States",2026-08-27,H-1B Sponsor,Google,no,"Software, Full Stack","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/140223091451011782-software-engineer-iii-full-stack
Health Software - QA Tools & Automation Engineer,Apple,"San Diego, California, United States",2026-08-27,H-1B Sponsor,Apple,no,Software,"118,000-207,100 USD/annual",https://jobs.apple.com/en-us/details/200680523-3543/health-software-qa-tools-automation-engineer?team=SFTWR
"Software Engineer III, Access Transparency",Google,"Chicago, Illinois, United States",2026-08-27,H-1B Sponsor,Google,no,Software,"147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/90936073986679494-software-engineer-iii-access-transparency
"Systems Yield Engineer, Quantum AI",Google,"Goleta, California, United States",2026-08-27,H-1B Sponsor,Google,no,AI,"132,000-189,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/107807427079873222-systems-yield-engineer-quantum-ai
"Business and Marketing Data Scientist, Applied Machine Learning",Google,"New York, New York, United States",2026-08-27,H-1B Sponsor,Google,no,"Machine Learning, Applied Scientist","138,000-197,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/134799200591192774-business-and-marketing-data-scientist-applied-machine-learning
"Reliability Infrastructure Technician, Raxium",Google,"Fremont, California, United States",2026-08-27,H-1B Sponsor,Google,no,Infrastructure,"99,000-140,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/113142120058888902-reliability-infrastructure-technician-raxium
"Data Center Technician III, Networking Infrastructure",Google,"Council Bluffs, Iowa, United States",2026-08-27,H-1B Sponsor,Google,no,Infrastructure,"105,000-145,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/92358051759039174-data-center-technician-iii-networking-infrastructure
"Software Engineer, Android",Match Group,"Palo Alto, California, United States",2026-08-27,H-1B Sponsor,,no,Software,"105,000-130,000 USD/annual",https://jobs.lever.co/matchgroup/26725d4e-c597-4434-95d3-e6b86472d8a4
Backend Software Engineer II,Chewy,"Boston, Massachusetts, United States",2026-08-27,H-1B Sponsor,,no,"Software, Backend",,https://careers.chewy.com/us/en/job/R30681/Backend-Software-Engineer-II
"Associate Software Engineer, AI",Constellation Energy,"Houston, Texas, United States",2026-08-27,H-1B Sponsor,,no,"Software, AI","78,300-87,000 USD/annual",https://jobs.constellationenergy.com/careers-home/jobs/138264?lang=en-us
New College Grad - Software Engineer,Micron Technology,"Boise, Idaho, United States",2026-08-27,H-1B Sponsor,,no,Software,,https://careers.micron.com/careers/job/44144084?domain=micron.com
Full Stack Developer - PROJECT - Software Engineer III - TS/SCI clearance,Deloitte,"Rosslyn, Virginia, United States",2026-08-27,H-1B Sponsor,,no,"Software, Full Stack","113,000-188,400 USD/annual",https://apply.deloitte.com/en_US/careers/JobDetail/Full-Stack-Developer-PROJECT-Software-Engineer-III-TS-SCI-clearance/364498
AI Software Engineer Intern,Ericsson,"Plano, Texas, United States",2026-08-27,H-1B Sponsor,,no,"Software, AI",,https://jobs.ericsson.com/careers/job/563121776668074?domain=ericsson.com&triggerGoButton=false
Software Engineer (Voice),Bandwidth,"Raleigh, North Carolina, United States",2026-08-27,H-1B Sponsor,,no,Software,,https://job-boards.greenhouse.io/bandwidth/jobs/8159576
Jr. - Mid Level JEE Software Developer,CGI,United States,2026-08-27,H-1B Sponsor,,no,Software,"58,000-136,200 USD/annual",https://cgi.njoyn.com/corp/xweb/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0826-1839&BRID=1328978&lang=1
"Software Engineer, Full Stack",Pendo,"Raleigh, North Carolina, United States",2026-08-27,H-1B Sponsor,,no,"Software, Full Stack","108,000-131,000 USD/annual",https://job-boards.greenhouse.io/pendo/jobs/8728254002
Software Engineer II (NST),Nintendo,"Redmond, Washington, United States",2026-08-27,H-1B Sponsor,,no,Software,"108,796-163,194 USD/annual",https://careers.nintendo.com/jobs/4371239009/
"Software Engineer I, Memberships",Twitch,"San Francisco, California, United States",2026-08-27,H-1B Sponsor,,no,Software,"127,100-185,000 USD/annual",https://job-boards.greenhouse.io/twitch/jobs/8748320002
Software Engineer 1 - Aviation Backend Web,Garmin,"Olathe, Kansas, United States",2026-08-27,H-1B Sponsor,,no,"Software, Backend",,https://careers.garmin.com/jobs/19142?lang=en-us&previousLocale=en-US
Intermediate Software Engineer,Gordon Food Service,"Atlanta, Georgia, United States",2026-08-27,H-1B Sponsor,,no,Software,,https://gfs.wd5.myworkdayjobs.com/en-US/usjobs-gen-gfs/job/Atlanta-Georgia/Intermediate-Software-Engineer_R-56330
"Software Developer, Integrations",MDU Resources,"Boise, Idaho, United States",2026-08-27,H-1B Sponsor,,no,Software,"63,860-105,570 USD/annual",https://recruiting2.ultipro.com/MDU1000MDUR/JobBoard/9a734154-c463-428d-8320-c5f4369cebd2/OpportunityDetail?opportunityId=fb76a741-68bd-4f49-88a7-77476bca0387
Outside Software Account Representative,Thryv,"Honolulu, Hawaii, United States",2026-08-27,H-1B Sponsor,,no,Software,,https://recruiting2.ultipro.com/SUP1002SPRM/JobBoard/d7242952-1f26-44c3-bd0e-5dda7e739f73/OpportunityDetail?opportunityId=620e4f1f-dde2-4e77-b4c4-39d1735621d4
Software/Solution Engineer,Epitec,"Menlo Park, California, United States",2026-08-27,H-1B Sponsor,,no,Software,87-102 USD/hourly,https://epitec.com/jobs-at-epitec-careerportaldomainroot/software-engineer-iii-106418/
Genesys Cloud Software Engineer III,Deloitte,"Morristown, New Jersey, United States",2026-08-27,H-1B Sponsor,,no,Software,"110,700-218,300 USD/annual",https://apply.deloitte.com/en_US/careers/JobDetail/Genesys-Cloud-Software-Engineer-III/364731
"Software Engineer I, Memberships",Twitch,"Seattle, Washington, United States",2026-08-27,H-1B Sponsor,,no,Software,"110,500-160,000 USD/annual",https://job-boards.greenhouse.io/twitch/jobs/8751076002
