title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,tier,match_score,fit_score,score_source,screen_method,resume_profile_used,role_family,seniority_fit,main_gaps,recommended_action,recommended_resume,first_seen,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,source_pipeline,job_url
Software Developer 1,Oracle,"Nashville, Tennessee, United States",2026-09-03,Sponsor,Oracle,no,Software,,A,90.0,90.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-04T18:19:14.501440+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::0bfbeed0fd1230ecaa57a40c9cee8759,,,2026-09-04T18:19:14.501440+00:00,syncareer,https://careers.oracle.com/en/sites/jobsearch/job/344446/?lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000149325%253B300000000106863
Core Infrastructure Engineer 1,Oracle,"Nashville, Tennessee, United States",2026-09-03,Sponsor,Oracle,no,Infrastructure,"74,100-148,300 USD/annual",A,90.0,90.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-04T18:19:14.501440+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::eb5a6f784eb6f67bbd8403dacd123f4d,,,2026-09-04T18:19:14.501440+00:00,syncareer,https://careers.oracle.com/en/sites/jobsearch/job/344360/?lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000149325%253B300000000106863
"Entry level Backend Developer - San Jose, CA - 2027",IBM,"San Jose, California, United States",2026-09-03,Sponsor,,no,Backend,"120,960-181,440 USD/annual",A,88.0,88.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-04T18:19:14.501440+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::728573af21f16df3bc9df3e405539d6c,,,2026-09-04T18:19:14.501440+00:00,syncareer,https://careers.ibm.com/en_US/careers/JobDetail?jobId=131805&source=WEB_Search_NA
"Entry Level Site Reliability Engineering Professional - Austin, TX - 2027",IBM,"Austin, Texas, United States",2026-09-03,Sponsor,,no,Site Reliability,"100,800-151,200 USD/annual",B,87.0,87.0,llm,llm,resume_swe,swe,good,"['Direct networking operations experience with routers, switches, firewalls, DNS/DHCP, and routing is not clearly evidenced']",referral_now,SWE,2026-09-04T18:19:14.501440+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::9d959f9aa6eb5d227f3ee84eb1e0b58d,,,2026-09-04T18:19:14.501440+00:00,syncareer,https://careers.ibm.com/en_US/careers/JobDetail?jobId=131820&source=WEB_Search_NA
Software Engineer I,Zebra Technologies,"Holtsville, New York, United States",2026-09-03,Sponsor,,no,Software,"68,400-102,600 USD/annual",B,86.0,86.0,llm,llm,resume_swe,swe,good,"['Low-level embedded, firmware, and hardware-software interfacing experience is not clearly evidenced.']",referral_now,SWE,2026-09-04T18:19:14.501440+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::bec2ad17304d7181f567a629a023c9eb,,,2026-09-04T18:19:14.501440+00:00,syncareer,https://zebra.wd501.myworkdayjobs.com/en-US/Zebra_careers/job/Holtsville-New-York/Software-Engineer-I_JR103056
Front End Software Developer,IBM,"Tucson, Arizona, United States",2026-09-03,Sponsor,,no,Software,"68,700-125,950 USD/annual",B,84.0,84.0,llm,llm,resume_swe,swe,good,[],apply_now,SWE,2026-09-04T18:19:14.501440+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::692a6507b65fe36fa22cccf2c524f530,,,2026-09-04T18:19:14.501440+00:00,syncareer,https://careers.ibm.com/en_US/careers/JobDetail?jobId=129264&source=WEB_Search_NA
"Site Reliability Engineering Professional Intern - Austin, TX - 2027",IBM,"Austin, Texas, United States",2026-09-03,Sponsor,,no,Site Reliability,"75,600-138,600 USD/annual",B,84.0,84.0,llm,llm,resume_swe,swe,good,['Hands-on enterprise systems administration and networking-device operations are less directly evidenced'],apply_now,SWE,2026-09-04T18:19:14.501440+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::785f515417c705b1c2d4fcc679ddda51,,,2026-09-04T18:19:14.501440+00:00,syncareer,https://careers.ibm.com/en_US/careers/JobDetail?jobId=131810&source=WEB_Search_NA
Software Engineer - Recent Grad,Kikoff,"San Francisco, United States",2026-09-03,Sponsor,,no,Software,"165,000-165,000 USD/annual",B,80.0,80.0,llm,llm,resume_swe,swe,good,"['Rails expertise is not evidenced, though the role permits cloud infrastructure, ReactJS, or Flutter expertise as alternatives.', 'The stated 2+ years industry-or-equivalent threshold is only partly established through a mix of internships, research, and short production work.']",apply_now,SWE,2026-09-04T18:19:14.501440+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::9b243cad4c9fd7b3fb5bb19c19bbb8ae,,,2026-09-04T18:19:14.501440+00:00,syncareer,https://job-boards.greenhouse.io/kikoff/jobs/4393822009
Software Engineer,Q2 Software,"Cary, North Carolina, United States",2026-09-03,Sponsor,,no,Software,,B,78.0,78.0,llm,llm,resume_swe,swe,good,"['Specific AWS-native services listed as requirements, particularly Lambda, RDS, IAM, S3, and EKS, are not clearly evidenced']",apply_now,SWE,2026-09-04T18:19:14.501440+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::f3ebff72cc6293ba09f92735810911a9,,,2026-09-04T18:19:14.501440+00:00,syncareer,https://q2ebanking.wd5.myworkdayjobs.com/en-US/Q2/job/Cary-North-Carolina/Software-Engineer_REQ-12745?jobFamilies=8b86f00a4a2a01e03cacfbdc0288b96a&jobFamilies=8b86f00a4a2a0161c8f6dbdc0288ab6a&jobFamilies=54838d87026b0142d4a0dd78070250f5&jobFamilies=54838d87026b019304a74a65070243f5&jobFamilies=8b86f00a4a2a0105bcc1d3dc0288a76a
"Backend Developer Intern - Austin, TX - 2027",IBM,"Austin, Texas, United States",2026-09-03,Sponsor,,no,Backend,"75,600-138,600 USD/annual",B,78.0,78.0,llm,llm,resume_swe,swe,good,"['No clear hands-on virtualization, configuration-management tooling such as Ansible/Chef, or infrastructure monitoring platform experience.', 'Intern timing/2027 student eligibility is not established from the resume.']",apply_now,SWE,2026-09-04T18:19:14.501440+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::79ee5e1db903469f43191a7028d8742f,,,2026-09-04T18:19:14.501440+00:00,syncareer,https://careers.ibm.com/en_US/careers/JobDetail?jobId=131799&source=WEB_Search_NA
