title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,tier,match_score,fit_score,score_source,screen_method,resume_profile_used,role_family,seniority_fit,main_gaps,recommended_action,recommended_resume,first_seen,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,source_pipeline,job_url
Software Engineer II,American Express,"Sunrise, Florida, United States",2026-09-02,Sponsor,,yes,Software,"89,250-150,250 USD/annual",A,90.0,90.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-03T18:33:24.029972+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::f52c9fb04a836ec2305a8865b843f851,,,2026-09-03T18:33:24.029972+00:00,syncareer,https://careers.americanexpress.com/en/sites/CX_1/job/26012944/?intlink=us-amex-career-en-us-navigation-jobs&lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000229164
Software Engineer New Grad,Valon,"New York, New York, United States",2026-09-02,Sponsor,,no,"Software, New Grad","135,000-160,000 USD/annual",A,89.0,89.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-03T18:33:24.029972+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::3cc6f0b3baf63568531842bb458ad7e6,,,2026-09-03T18:33:24.029972+00:00,syncareer,https://jobs.ashbyhq.com/Valon/e08ad09a-4408-4210-8c1b-da6510f83324
"Software Engineer, I",Zebra Technologies,"Kennesaw, Georgia, United States",2026-09-02,Sponsor,,no,Software,"68,400-102,600 USD/annual",A,85.0,85.0,llm,llm,resume_swe,swe,good,[],apply_now,SWE,2026-09-03T18:33:24.029972+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::0ae264f09d9d88d16cf989215d7262e4,,,2026-09-03T18:33:24.029972+00:00,syncareer,https://zebra.wd501.myworkdayjobs.com/en-US/Zebra_careers/job/Kennesaw-Georgia/Software-Engineer--I_JR102997-1
AI Foundations - Software Engineer - Research Internship 2027,IBM,"Yorktown Heights, New York, United States",2026-09-02,Sponsor,,no,"Software, AI","83,160-166,320 USD/annual",B,88.0,88.0,llm,llm,resume_ai,ai,good,[],referral_now,AI-FDE,2026-09-03T18:33:24.029972+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::c963c698d759f73f4164871770159e1d,,,2026-09-03T18:33:24.029972+00:00,syncareer,https://careers.ibm.com/en_US/careers/JobDetail?jobId=131307&source=WEB_Search_NA
Software Engineer Intern - Summer 2027,McKesson,"Atlanta, Georgia, United States",2026-09-02,Sponsor,,no,Software,16-27 USD/hourly,B,86.0,86.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-03T18:33:24.029972+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::9975f8cc4cf69e92db7d9e201c0c0070,,,2026-09-03T18:33:24.029972+00:00,syncareer,https://careers.mckesson.com/en/job/atlanta/software-engineer-intern-summer-2027/733/100095710720
Software Development Co-op (Spring 2027),Wave Life Sciences,"Cambridge, Massachusetts, United States",2026-09-02,Sponsor,,no,Software,,B,84.0,84.0,llm,llm,resume_swe,swe,good,[],apply_now,SWE,2026-09-03T18:33:24.029972+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::5c52dddff8fefc1b82d35d3f273680a6,,,2026-09-03T18:33:24.029972+00:00,syncareer,https://ectf.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/490
Software Engineer 2,Onto Innovation,"Wilmington, Massachusetts, United States",2026-09-02,Sponsor,,no,Software,"1,002,233-1,503,350 USD/annual",B,82.0,82.0,llm,llm,resume_swe,swe,good,['C#/.NET or Windows desktop development is not clearly evidenced'],apply_now,SWE,2026-09-03T18:33:24.029972+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::e18f75f22a12e8b3d0bb1e07fc53a588,,,2026-09-03T18:33:24.029972+00:00,syncareer,https://wd1.myworkdaysite.com/en-US/recruiting/onto/ONTO_Careers/job/Wilmington-MA-Jonspin/Software-Engineer-2_R-6241
Software Engineer II (Full Stack Engineer),JPMorgan Chase,"New York, New York, United States",2026-09-02,Sponsor,J.P. Morgan,no,"Software, Full Stack","137,750-185,000 USD/annual",B,78.0,78.0,cached_llm,cached_llm,resume_swe,swe,good,"['The required 2+ years of applied experience is only borderline based on the listed role durations', 'Enterprise-authorized AI coding-assistant experience is not explicitly evidenced']",apply_now,SWE,2026-09-03T18:33:24.029972+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::f920f08e808032f4af88c70bd2dbaa38,,,2026-09-03T18:33:24.029972+00:00,syncareer,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210729233
Control System Software Engineer,Oak Ridge National Laboratory,"Oak Ridge, Tennessee, United States",2026-09-02,Sponsor,,no,Software,,B,76.0,76.0,llm,llm,resume_swe,swe,good,"['EPICS/distributed control-system experience is not evidenced', 'Embedded or real-time systems programming experience is not clearly evidenced']",apply_now,SWE,2026-09-03T18:33:24.029972+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::08b5115ac05e0c9f2fbf628185982c8f,,,2026-09-03T18:33:24.029972+00:00,syncareer,https://jobs.ornl.gov/job/Oak-Ridge-Control-System-Software-Engineer-TN-37830/1425774100/
"Campus Undergraduate Full-Time Engineer - 2027 Software Engineer I, Enterprise Technology Services- Charlotte, NC",American Express,"Charlotte, North Carolina, United States",2026-09-02,Sponsor,,yes,Software,"78,000-124,750 USD/annual",B,76.0,76.0,llm,llm,resume_swe,swe,good,"[""The stated December 2026-June 2027 bachelor's graduation window is not evidenced; resume shows bachelor's completed June 2024""]",apply_if_time,SWE,2026-09-03T18:33:24.029972+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::9d50ffcf481efe04ce1eae8945ca48f7,,,2026-09-03T18:33:24.029972+00:00,syncareer,https://careers.americanexpress.com/en/sites/CX_1/job/26012869/?intlink=us-amex-career-en-us-navigation-jobs&lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000229164
