tier,match_score,score_source,company,title,location,posted_date,recency_bucket,date_confidence,resume_profile_used,referral_name,recommended_action,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,official_url,source,source_url
A,86.0,cached_llm,micro1,"Software Engineer, Internal Platforms","Remote, US",2026-09-07,1to3d,low,resume_swe,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-99eef43cbe7420b4,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:01:16.515721+00:00,,indeed,https://www.indeed.com/viewjob?jk=99eef43cbe7420b4
B,76.0,cached_llm,Capgemini,Java AWS Backend Developer,"New York, NY",2026-09-09,1to3d,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::linkedin::4463596928,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:01:16.515721+00:00,,linkedin,https://www.linkedin.com/jobs/view/java-aws-backend-developer-at-capgemini-4463596928
B,76.0,cached_llm,Capgemini,Java AWS Backend Developer,"New York, United States",2026-09-09,1to3d,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::linkedin::4463806432,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:01:16.515721+00:00,,linkedin,https://www.linkedin.com/jobs/view/java-aws-backend-developer-at-capgemini-4463806432
B,73.0,cached_llm,City of Orem,SOFTWARE ENGINEER,"Orem, UT, US",2026-09-07,1to3d,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-581454b8f2e31a03,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:01:16.515721+00:00,,indeed,https://www.indeed.com/viewjob?jk=581454b8f2e31a03
B,72.0,cached_llm,Allen Control Systems,"Computer Vision/Machine Learning Intern, 2027","Austin, TX, US",2026-09-07,1to3d,low,resume_ai,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-c29720b77fb14cc6,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:01:16.515721+00:00,,indeed,https://www.indeed.com/viewjob?jk=c29720b77fb14cc6
B,75.0,rule_fallback,Hertz,Full Stack Developer- TNC,"Atlanta, GA",2026-09-09,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4464987091,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:01:16.515721+00:00,,linkedin,https://www.linkedin.com/jobs/view/full-stack-developer-tnc-at-hertz-4464987091
B,75.0,rule_fallback,Skild AI,Full Stack Developer,"San Mateo, CA",2026-09-09,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4377965112,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:01:16.515721+00:00,,linkedin,https://www.linkedin.com/jobs/view/full-stack-developer-at-skild-ai-4377965112
B,75.0,rule_fallback,Tata Consultancy Services,Full stack developer,"Cincinnati, OH",2026-09-09,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4445419043,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:01:16.515721+00:00,,linkedin,https://www.linkedin.com/jobs/view/full-stack-developer-at-tata-consultancy-services-4445419043
B,75.0,rule_fallback,UICGS / Bowhead Family of Companies,Full Stack Developer,"Corona, CA",2026-09-09,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4464103082,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:01:16.515721+00:00,,linkedin,https://www.linkedin.com/jobs/view/full-stack-developer-at-uicgs-bowhead-family-of-companies-4464103082
B,75.0,rule_fallback,Stanford University School of Medicine,ML Engineer – Healthcare Foundation Model Developer,"Stanford, CA",2026-09-09,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4465311673,,2026-09-10T00:25:44.323643+00:00,2026-09-10T15:01:16.515721+00:00,,linkedin,https://www.linkedin.com/jobs/view/ml-engineer-%E2%80%93-healthcare-foundation-model-developer-at-stanford-university-school-of-medicine-4465311673
