tier,match_score,score_source,company,title,location,posted_date,recency_bucket,date_confidence,resume_profile_used,referral_name,recommended_action,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,official_url,source,source_url
B,75.0,llm,Amazon,"Software Development Engineer II, AWS Lambda","Seattle, Washington, USA",2026-08-29,3to24h,high,resume_swe,Amazon,apply_now,unreviewed,covered_unvalidated,official,url::https://www.amazon.jobs/en/jobs/10521241/software-development-engineer-ii-aws-lambda,url::https://www.amazon.jobs/en/jobs/10477458/software-development-engineer-ii-aws-lambda,2026-08-29T00:24:35.875420+00:00,2026-08-29T18:25:41.219464+00:00,https://www.amazon.jobs/en/jobs/10521241/software-development-engineer-ii-aws-lambda,amazon_official,https://www.amazon.jobs/en/jobs/10521241/software-development-engineer-ii-aws-lambda
B,65.0,rule_fallback,Amazon,"Software Development Engineer II, AWS Lambda","Seattle, Washington, USA",2026-08-29,3to24h,high,resume_swe,Amazon,apply_now,unreviewed,covered_unvalidated,official,url::https://www.amazon.jobs/en/jobs/10521247/software-development-engineer-ii-aws-lambda,url::https://www.amazon.jobs/en/jobs/10477458/software-development-engineer-ii-aws-lambda,2026-08-29T00:24:35.875420+00:00,2026-08-29T18:25:41.219464+00:00,https://www.amazon.jobs/en/jobs/10521247/software-development-engineer-ii-aws-lambda,amazon_official,https://www.amazon.jobs/en/jobs/10521247/software-development-engineer-ii-aws-lambda
B,65.0,rule_fallback,Amazon,"Software Development Engineer II, AWS Lambda","Seattle, Washington, USA",2026-08-29,3to24h,high,resume_swe,Amazon,apply_now,unreviewed,covered_unvalidated,official,url::https://www.amazon.jobs/en/jobs/10521246/software-development-engineer-ii-aws-lambda,url::https://www.amazon.jobs/en/jobs/10477458/software-development-engineer-ii-aws-lambda,2026-08-29T00:24:35.875420+00:00,2026-08-29T18:25:41.219464+00:00,https://www.amazon.jobs/en/jobs/10521246/software-development-engineer-ii-aws-lambda,amazon_official,https://www.amazon.jobs/en/jobs/10521246/software-development-engineer-ii-aws-lambda
B,65.0,rule_fallback,Amazon,"Software Development Engineer II, AWS Lambda","Seattle, Washington, USA",2026-08-29,3to24h,high,resume_swe,Amazon,apply_now,unreviewed,covered_unvalidated,official,url::https://www.amazon.jobs/en/jobs/10521245/software-development-engineer-ii-aws-lambda,url::https://www.amazon.jobs/en/jobs/10477458/software-development-engineer-ii-aws-lambda,2026-08-29T00:24:35.875420+00:00,2026-08-29T18:25:41.219464+00:00,https://www.amazon.jobs/en/jobs/10521245/software-development-engineer-ii-aws-lambda,amazon_official,https://www.amazon.jobs/en/jobs/10521245/software-development-engineer-ii-aws-lambda
B,65.0,rule_fallback,Amazon,"Software Development Engineer II, AWS Lambda","Seattle, Washington, USA",2026-08-29,3to24h,high,resume_swe,Amazon,apply_now,unreviewed,covered_unvalidated,official,url::https://www.amazon.jobs/en/jobs/10521244/software-development-engineer-ii-aws-lambda,url::https://www.amazon.jobs/en/jobs/10477458/software-development-engineer-ii-aws-lambda,2026-08-29T00:24:35.875420+00:00,2026-08-29T18:25:41.219464+00:00,https://www.amazon.jobs/en/jobs/10521244/software-development-engineer-ii-aws-lambda,amazon_official,https://www.amazon.jobs/en/jobs/10521244/software-development-engineer-ii-aws-lambda
A,85.0,llm,Amazon,"Software Development Engineer , Project Dawn","Seattle, Washington, USA",2026-08-27,1to3d,high,resume_ai,Amazon,referral_now,unreviewed,covered_unvalidated,official,url::https://www.amazon.jobs/en/jobs/10517671/software-development-engineer-project-dawn,url::https://www.amazon.jobs/en/jobs/10517671/software-development-engineer-project-dawn,2026-08-29T00:24:35.875420+00:00,2026-08-29T18:25:41.219464+00:00,https://www.amazon.jobs/en/jobs/10517671/software-development-engineer-project-dawn,amazon_official,https://www.amazon.jobs/en/jobs/10517671/software-development-engineer-project-dawn
B,85.0,llm,Amazon,"Software Development Engineer Intern, Annapurna Labs - 2027","Cupertino, California, USA",2026-08-27,1to3d,high,resume_swe,Amazon,referral_now,unreviewed,covered_unvalidated,official,url::https://www.amazon.jobs/en/jobs/10517567/software-development-engineer-intern-annapurna-labs-2027,url::https://www.amazon.jobs/en/jobs/10517567/software-development-engineer-intern-annapurna-labs-2027,2026-08-29T00:24:35.875420+00:00,2026-08-29T18:25:41.219464+00:00,https://www.amazon.jobs/en/jobs/10517567/software-development-engineer-intern-annapurna-labs-2027,amazon_official,https://www.amazon.jobs/en/jobs/10517567/software-development-engineer-intern-annapurna-labs-2027
B,80.0,llm,Amazon,"Software Development Engineer, Reporting Data Platform","Seattle, Washington, USA",2026-08-28,1to3d,high,resume_swe,Amazon,apply_now,unreviewed,covered_unvalidated,official,url::https://www.amazon.jobs/en/jobs/10519658/software-development-engineer-reporting-data-platform,url::https://www.amazon.jobs/en/jobs/10519658/software-development-engineer-reporting-data-platform,2026-08-29T00:24:35.875420+00:00,2026-08-29T18:25:41.219464+00:00,https://www.amazon.jobs/en/jobs/10519658/software-development-engineer-reporting-data-platform,amazon_official,https://www.amazon.jobs/en/jobs/10519658/software-development-engineer-reporting-data-platform
B,75.0,llm,Amazon,"Software Development Engineer, AWS Compliance & Security Assurance","Seattle, Washington, USA",2026-08-27,1to3d,high,resume_swe,Amazon,apply_now,unreviewed,covered_unvalidated,official,url::https://www.amazon.jobs/en/jobs/10516800/software-development-engineer-aws-compliance-security-assurance,url::https://www.amazon.jobs/en/jobs/10516800/software-development-engineer-aws-compliance-security-assurance,2026-08-29T00:24:35.875420+00:00,2026-08-29T18:25:41.219464+00:00,https://www.amazon.jobs/en/jobs/10516800/software-development-engineer-aws-compliance-security-assurance,amazon_official,https://www.amazon.jobs/en/jobs/10516800/software-development-engineer-aws-compliance-security-assurance
B,75.0,llm,Amazon,"Software Development Engineer, AWS Route 53 Global Resolver, AWS Route 53 Global Resolver","Herndon, Virginia, USA",2026-08-28,1to3d,high,resume_swe,Amazon,apply_now,unreviewed,covered_unvalidated,official,url::https://www.amazon.jobs/en/jobs/10520075/software-development-engineer-aws-route-53-global-resolver-aws-route-53-global-resolver,url::https://www.amazon.jobs/en/jobs/10520075/software-development-engineer-aws-route-53-global-resolver-aws-route-53-global-resolver,2026-08-29T00:24:35.875420+00:00,2026-08-29T18:25:41.219464+00:00,https://www.amazon.jobs/en/jobs/10520075/software-development-engineer-aws-route-53-global-resolver-aws-route-53-global-resolver,amazon_official,https://www.amazon.jobs/en/jobs/10520075/software-development-engineer-aws-route-53-global-resolver-aws-route-53-global-resolver
